,level_0,index,channelId,channelTitle,categoryId,title,videoId,publishedAt,viewCount,likeCount,dislikeCount,commentCount,tags,channelVideoId,datePublished,todayDate,daysPublished,averageViewCount,positiveRating,negativeRating,engagementRating
0,0,3,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,The Market Collapse &amp; Bitcoin to $0 [w/ Peter Schiff],F9xaOMm8_Zk,2021-02-27T16:46:32Z,21196,2617,477,0,"['peter schiff', 'money', 'gold', 'bitcoin', 'elon musk', 'musk', 'tesla', 'nasdaq', 'tech stocks', 'tech crash', 'stock crash', 'stocks']",Meet Kevin 0,2021-02-27,2021-02-28,1,21196.0,12.35,2.25,0.0
1,1,0,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,25,"$1,400 Stimulus PASSED by House! [Details &amp; Next Steps].",wx7J5kPpZpo,2021-02-27T07:25:06Z,160024,10807,121,1833,"['stimulus check', 'stimulus package', 'stimulus update', 'stimulus checks', 'unemployment stimulus', 'congress', 'clearvalue tax', 'clear value tax', 'stephen gardner', 'gardner', 'new stimulus package', 'pelosi', 'second stimulus check timing', 'new stimulus bill', 'new', 'biden stimulus', 'third stimulus check', 'stimulus 3', 'new stimulus biden', 'biden stimulus plan', 'biden speaks on stimulus', 'new stimulus plan', 'american recovery', 'its jimmy', 'third stimulus', 'new stimulus', 'recovery plan', 'schumer', 'stimulus passes']",Meet Kevin 1,2021-02-27,2021-02-28,1,160024.0,6.75,0.08,1.15
2,2,9,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,25,"House Debates &amp; Passes: $1,400 Stimulus Check Package.",ziaaz1PVL1E,2021-02-27T07:24:29Z,295303,7452,257,491,"['congress', 'house', 'debates', 'stimulus', 'stimulus check', 'stimulus update']",Meet Kevin 2,2021-02-27,2021-02-28,1,295303.0,2.52,0.09,0.17
3,3,1,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,I&#39;m Not F$*king Leaving.,wlPIgxZpqNk,2021-02-27T02:36:23Z,213687,9257,217,1916,"['stocks', 'investing', 'ark', 'ark invest', 'stock crash', 'market crash', 'market crisis', 'crash', 'stocks fell', 'why stocks fell']",Meet Kevin 3,2021-02-27,2021-02-28,1,213687.0,4.33,0.1,0.9
4,4,6,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,25,"$1,400 Stimulus Check Update and Changes | [2-26]",0xBgteoof-o,2021-02-27T00:23:13Z,175033,7569,243,1153,"['stimulus check', 'stimulus package', 'stimulus update', 'stimulus checks', 'unemployment stimulus', 'congress', 'clearvalue tax', 'clear value tax', 'stephen gardner', 'gardner', 'new stimulus package', 'pelosi', 'second stimulus check timing', 'new stimulus bill', 'new', 'biden stimulus', 'third stimulus check', 'stimulus 3', 'new stimulus biden', 'biden stimulus plan', 'biden speaks on stimulus', 'new stimulus plan', 'american recovery', 'its jimmy', 'third stimulus', 'new stimulus', 'recovery plan', 'schumer']",Meet Kevin 4,2021-02-27,2021-02-28,1,175033.0,4.32,0.14,0.66
5,5,2,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,Final Market Close: February.,mr55l3bz5wg,2021-02-26T21:41:56Z,146230,2994,111,463,"['market', 'investing', 'stocks']",Meet Kevin 5,2021-02-26,2021-02-28,2,73115.0,2.05,0.08,0.32
6,6,4,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,Market Open: Will the Market Recover or Crash Again?,a1RnIgNB9qo,2021-02-26T16:16:21Z,199182,3905,135,421,"['stocks', 'investing', 'market']",Meet Kevin 6,2021-02-26,2021-02-28,2,99591.0,1.96,0.07,0.21
7,7,5,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,Why the Market CRASHED Today | The Truth.,vjIBxM72jHY,2021-02-25T23:34:00Z,435035,20189,376,3222,"['market crash', 'stocks', 'market fall', 'market collapse', 'graham stephan', 'andrei jikh', 'Jeremy financial education', 'ziptrader', 'swaggyc', 'day trade', 'bitcoin', 'investing', 'investing in stocks', 'buying stocks']",Meet Kevin 7,2021-02-25,2021-02-28,3,145012.0,4.64,0.09,0.74
8,8,8,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,25,The Federal Reserve JUST Failed | Cathie Wood &amp; Bitcoin Respond.,ryCkK-Toxx8,2021-02-25T17:01:27Z,240549,7065,211,1948,"['federal reserve', 'fed', 'bitcoin', 'cathie wood', 'cryptocurrency', 'jerome powell']",Meet Kevin 8,2021-02-25,2021-02-28,3,80183.0,2.94,0.09,0.81
9,9,13,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,Confronting the CEO of Matterport [My Next 3x Stock].,FqHi_rCOEBY,2021-02-25T04:32:26Z,58621,1835,60,650,"['matterport', 'stock', 'investing']",Meet Kevin 9,2021-02-25,2021-02-28,3,19540.0,3.13,0.1,1.11
10,10,10,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,GME AFTER HOURS!!! &amp; Market Close: Half Disaster. Half Victory.,imLcTw74yog,2021-02-25T01:21:38Z,283701,5820,204,477,"['gme', 'gamestop', 'amc', 'market close', 'stocks', 'investing', 'cnbc', 'graham stephan', 'ziptrader', 'swaggyc', 'jeremy financial education', 'cciv', 'lucid']",Meet Kevin 10,2021-02-25,2021-02-28,3,94567.0,2.05,0.07,0.17
11,11,19,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,"Fed &amp; $1,400 Stimulus Check Update [2-24]",lvZP273p9zk,2021-02-24T20:29:42Z,247677,8278,315,2122,"['stimulus check', 'stimulus package', 'stimulus update', 'stimulus checks', 'unemployment stimulus', 'congress', 'clearvalue tax', 'clear value tax', 'stephen gardner', 'gardner', 'new stimulus package', 'pelosi', 'second stimulus check timing', 'new stimulus bill', 'new', 'biden stimulus', 'third stimulus check', 'stimulus 3', 'new stimulus biden', 'biden stimulus plan', 'biden speaks on stimulus', 'new stimulus plan', 'american recovery', 'its jimmy', 'third stimulus', 'new stimulus', 'recovery plan', 'schumer', 'minimum wage']",Meet Kevin 11,2021-02-24,2021-02-28,4,61919.0,3.34,0.13,0.86
12,12,12,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,Market Open! Moon or Setup? [Jerome Powell],K32PklSK3fs,2021-02-24T16:27:40Z,175292,3243,113,357,"['market open', 'investing', 'stocks']",Meet Kevin 12,2021-02-24,2021-02-28,4,43823.0,1.85,0.06,0.2
13,13,28,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,"Tesla vs Lucid ($CCIV): Will Lucid Fail, Sell Now? [w/ Hyperchange]",xP8ZKQKpRLw,2021-02-24T02:04:28Z,193246,4600,337,1088,"['lucid', 'cciv', 'tesla', 'elon musk', 'gali', 'hyperchange', 'hyper change']",Meet Kevin 13,2021-02-24,2021-02-28,4,48312.0,2.38,0.17,0.56
14,14,14,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,27,Market Closing &amp; Earnings - Market Crash Day!,-I1TfKNHKew,2021-02-23T22:41:34Z,183568,3392,136,517,"['stocks', 'market', 'investing']",Meet Kevin 14,2021-02-23,2021-02-28,5,36714.0,1.85,0.07,0.28
15,15,16,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,25,What the Fed just Said... As the Market is Crashing.,0pcKUMKu6c0,2021-02-23T19:22:49Z,266471,9267,266,2149,"['fed', 'federal reserve', 'jerome powell', 'jpow', 'money printer', 'inflation', 'rates', 'unemployment', 'stimulus', 'wealth', 'k-shaped']",Meet Kevin 15,2021-02-23,2021-02-28,5,53294.0,3.48,0.1,0.81
